date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:33:15	1181/1181	---M--	200	added ('OK')	text/html	etag:W/%2249d-1882065fdf1%22	https://daniapi.my.id/robots.txt		(from )
02:33:16	9816/9816	---M--	200	added ('OK')	text/html	etag:W/%222658-18821c21334%22	https://daniapi.my.id/	https://daniapi.my.id/httrack/daniapi.my.id/index.html	(from )
02:33:17	183710/183710	---M--	200	added ('OK')	image/png	etag:W/%222cd9e-1882065fc85%22	https://daniapi.my.id/assets/img/logos/favicon.png	https://daniapi.my.id/httrack/daniapi.my.id/assets/img/logos/favicon.png	(from https://daniapi.my.id/)
02:33:18	30713/30713	---M--	200	added ('OK')	text/css	etag:W/%2277f9-1882065fc2d%22	https://daniapi.my.id/assets/home/css/iconfont.css	https://daniapi.my.id/httrack/daniapi.my.id/assets/home/css/iconfont.css	(from https://daniapi.my.id/)
02:33:18	1729/1729	---M--	200	added ('OK')	text/css	etag:W/%226c1-1882065fc5d%22	https://daniapi.my.id/assets/home/css/slick/slick.css	https://daniapi.my.id/httrack/daniapi.my.id/assets/home/css/slick/slick.css	(from https://daniapi.my.id/)
02:33:19	3145/3145	---M--	200	added ('OK')	text/css	etag:W/%22c49-1882065fc5d%22	https://daniapi.my.id/assets/home/css/slick/slick-theme.css	https://daniapi.my.id/httrack/daniapi.my.id/assets/home/css/slick/slick-theme.css	(from https://daniapi.my.id/)
02:33:21	26711/26711	---M--	200	added ('OK')	text/css	etag:W/%226857-1882065fc2d%22	https://daniapi.my.id/assets/home/css/font-awesome.min.css	https://daniapi.my.id/httrack/daniapi.my.id/assets/home/css/font-awesome.min.css	(from https://daniapi.my.id/)
02:33:21	4895/4895	---M--	200	added ('OK')	text/css	etag:W/%22131f-1882065fc2d%22	https://daniapi.my.id/assets/home/css/jquery.fancybox.css	https://daniapi.my.id/httrack/daniapi.my.id/assets/home/css/jquery.fancybox.css	(from https://daniapi.my.id/)
02:33:23	146082/146082	---M--	200	added ('OK')	text/css	etag:W/%2223aa2-1882065fc2d%22	https://daniapi.my.id/assets/home/css/bootstrap.css	https://daniapi.my.id/httrack/daniapi.my.id/assets/home/css/bootstrap.css	(from https://daniapi.my.id/)
02:33:24	121260/121260	---M--	200	added ('OK')	text/css	etag:W/%221d9ac-1882065fc2d%22	https://daniapi.my.id/assets/home/css/bootstrap.min.css	https://daniapi.my.id/httrack/daniapi.my.id/assets/home/css/bootstrap.min.css	(from https://daniapi.my.id/)
